ID,Jurisdiction,State,District_Type,District_Number,Candidate_Name,Party,Total_Amount,Total_For,Total_Against,PAC_Name,PAC_Type,PAC_ID,ID_Type,Citation_URL
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NY,U.S. House,7,Nydia M Velazquez,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483921,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483921
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NC,U.S. House,9,Cynthia Wallace,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483922,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483922
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,VA,U.S. Senate,,Mark Warner,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483923,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483923
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,43,Maxine Waters,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483924,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483924
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,VA,U.S. House,10,Jennifer Wexton,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483925,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483925
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,PA,U.S. House,7,Susan Wild,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483926,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483926
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,FL,U.S. House,24,Frederica Wilson,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483927,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483927
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,KY,U.S. House,3,John A Yarmuth,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483928,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483928
ENVIRONMENT AMERICA ACTION FUND_111343,Federal Office,All,President,,Joe Biden,D,111343.00,111343.00,0.00,ENVIRONMENT AMERICA ACTION FUND,Super PAC,C00531814,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00531814
ENVIRONMENT AMERICA ACTION FUND_86,Federal Office,PA,U.S. House,1,Brian Fitzpatrick,R,86.00,86.00,0.00,ENVIRONMENT AMERICA ACTION FUND,Super PAC,C00531815,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00531815
ENVIRONMENT AMERICA ACTION FUND_300368,Federal Office,MA,U.S. Senate,,Ed Markey,D,300368.00,300368.00,0.00,ENVIRONMENT AMERICA ACTION FUND,Super PAC,C00531816,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00531816
ENVIRONMENT AMERICA ACTION FUND_349,Federal Office,PA,U.S. House,5,Mary Gay Scanlon,D,349.00,349.00,0.00,ENVIRONMENT AMERICA ACTION FUND,Super PAC,C00531817,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00531817
ENVIRONMENT AMERICA ACTION FUND_94,Federal Office,TX,U.S. House,10,Mike Siegel,D,94.00,94.00,0.00,ENVIRONMENT AMERICA ACTION FUND,Super PAC,C00531818,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00531818
EDF ACTION VOTES_61136,Federal Office,All,President,,Joe Biden,D,61136.00,61136.00,0.00,EDF ACTION VOTES,Super PAC,C00707844,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707844
